timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected,fall_predicted,fall_confidence,accel_magnitude,gyro_magnitude
1759749329.889,2025-10-06 12:15:29.888,0.0681,-0.0049,0.8767,2.3893,-0.1527,-2.5344,46.08,0,,False,False,1.0,0.879,3.486
1759749330.048,2025-10-06 12:15:30.047,0.0667,-0.0029,0.8794,2.542,-0.2977,-2.8397,45.75,0,,False,False,1.0,0.882,3.823
1759749330.219,2025-10-06 12:15:30.218,0.0615,-0.0076,0.876,2.313,-0.1374,-2.7405,45.61,0,,False,False,1.0,0.878,3.589
1759749330.412,2025-10-06 12:15:30.411,0.0642,-0.002,0.8806,2.5038,-0.4198,-2.7176,45.52,0,,False,False,1.0,0.883,3.719
1759749330.602,2025-10-06 12:15:30.602,0.0632,-0.0034,0.8806,2.687,-0.0305,-2.7939,45.57,0,,False,False,1.0,0.883,3.876
1759749330.781,2025-10-06 12:15:30.780,0.0684,-0.0002,0.8835,2.374,-0.1298,-2.5344,45.61,0,,False,False,1.0,0.886,3.475
1759749330.936,2025-10-06 12:15:30.936,0.0674,0.0,0.8748,2.5115,-0.2137,-2.6412,45.71,0,,False,False,1.0,0.877,3.651
1759749331.091,2025-10-06 12:15:31.090,0.0659,-0.0029,0.875,2.6641,-0.5573,-2.5267,45.75,0,,False,False,1.0,0.877,3.714
1759749331.247,2025-10-06 12:15:31.247,0.0662,-0.0042,0.876,2.3435,-0.2519,-2.6718,45.75,0,,False,False,1.0,0.879,3.563
1759749331.406,2025-10-06 12:15:31.405,0.0618,-0.001,0.8767,2.5115,-0.3588,-2.5802,45.75,0,,False,False,1.0,0.879,3.619
1759749331.604,2025-10-06 12:15:31.604,0.062,-0.001,0.8728,2.3359,-0.2214,-2.7634,45.85,0,,False,False,1.0,0.875,3.625
1759749331.774,2025-10-06 12:15:31.773,0.0657,-0.0029,0.8708,2.4733,-0.3435,-2.5954,45.38,0,,False,False,1.0,0.873,3.602
1759749331.944,2025-10-06 12:15:31.943,0.0237,-0.043,0.8662,2.9847,2.7557,18.0076,45.38,0,,False,False,1.0,0.868,18.46
1759749332.118,2025-10-06 12:15:32.118,0.0476,-0.0083,0.8831,2.5038,2.2672,-2.6031,45.75,0,,False,False,0.99,0.884,4.264
1759749332.257,2025-10-06 12:15:32.256,0.0493,-0.0054,0.8752,2.6336,1.0153,-2.5878,46.08,0,,False,False,1.0,0.877,3.829
1759749332.417,2025-10-06 12:15:32.417,0.0342,-0.0059,0.8799,2.5267,-0.374,-2.771,45.85,0,,False,False,1.0,0.881,3.769
1759749332.583,2025-10-06 12:15:32.582,0.0464,-0.0032,0.8711,2.2519,-3.7176,-2.7481,45.61,0,,False,False,1.0,0.872,5.142
1759749332.74,2025-10-06 12:15:32.739,0.0488,-0.0056,0.8655,2.313,1.3664,-2.5496,45.71,0,,False,False,1.0,0.867,3.704
1759749332.895,2025-10-06 12:15:32.895,0.05,-0.0061,0.8772,2.7328,-6.6336,-2.6183,45.57,0,,False,False,1.0,0.879,7.637
1759749333.049,2025-10-06 12:15:33.049,0.0454,-0.0083,0.8748,2.5267,4.0687,-2.4122,46.04,0,,False,False,1.0,0.876,5.363
1759749333.244,2025-10-06 12:15:33.244,0.0544,-0.0039,0.8696,2.6107,-8.9237,-2.5802,45.75,0,,False,False,1.0,0.871,9.649
1759749333.437,2025-10-06 12:15:33.437,0.0688,0.1021,0.8672,1.4733,0.1603,-16.4885,45.75,187.0,,True,False,1.0,0.876,16.555
1759749333.625,2025-10-06 12:15:33.625,0.0422,-0.0056,0.8799,1.8855,-3.313,-2.2595,45.42,200.5,,True,False,0.91,0.881,4.431
