timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected
1759743560.807,2025-10-06 10:39:20.806,0.0598,-0.0054,0.8782,2.3588,-0.4504,-2.7863,45.57,0,,False
1759743560.936,2025-10-06 10:39:20.936,0.0601,0.0032,0.8794,2.5267,-0.313,-2.5878,45.42,0,,False
1759743561.065,2025-10-06 10:39:21.064,0.0586,0.0027,0.8838,2.4656,0.1908,-2.7023,45.24,0,,False
1759743561.197,2025-10-06 10:39:21.197,0.0588,0.0059,0.8799,2.145,3.3664,-2.6412,45.71,0,,False
1759743561.33,2025-10-06 10:39:21.329,0.0459,0.0024,0.8828,2.0992,-2.5725,-2.6947,45.57,0,,False
1759743561.458,2025-10-06 10:39:21.458,0.0493,0.0005,0.8735,2.2977,2.3588,-2.4885,45.42,0,,False
1759743561.603,2025-10-06 10:39:21.603,0.0503,0.0039,0.8838,2.3359,3.1298,-2.7176,45.57,0,,False
1759743561.735,2025-10-06 10:39:21.735,0.0439,-0.0007,0.8865,2.374,-2.6336,-2.7481,45.42,0,,False
1759743561.867,2025-10-06 10:39:21.867,0.0386,0.0027,0.8813,2.3282,3.5191,-2.8244,45.38,0,,False
1759743562.012,2025-10-06 10:39:22.012,0.0388,0.0029,0.8733,2.5191,-3.458,-2.8702,45.52,0,,False
1759743562.148,2025-10-06 10:39:22.148,0.0386,0.0029,0.8789,2.6794,-1.0992,-2.6336,45.57,0,,False
1759743562.28,2025-10-06 10:39:22.280,0.0476,-0.0005,0.8862,2.4885,0.6641,-2.5802,45.42,0,,False
1759743562.413,2025-10-06 10:39:22.412,0.0439,0.0042,0.8694,2.3969,0.8092,-2.8321,45.71,0,,False
1759743562.541,2025-10-06 10:39:22.541,0.0398,-0.001,0.8796,2.313,0.2519,-2.5573,45.52,0,,False
1759743562.673,2025-10-06 10:39:22.673,0.043,-0.0005,0.874,2.4885,0.9313,-2.5878,45.52,0,,False
1759743562.806,2025-10-06 10:39:22.805,0.0461,-0.0005,0.8801,2.4351,-0.2443,-2.6718,45.75,0,,False
1759743562.936,2025-10-06 10:39:22.936,0.0408,-0.0005,0.8838,2.3664,-0.7863,-2.855,45.52,0,,False
1759743563.06,2025-10-06 10:39:23.060,0.0464,0.0012,0.8806,2.1985,0.0382,-2.8168,45.42,0,,False
1759743563.199,2025-10-06 10:39:23.198,0.042,0.0015,0.8794,2.374,-0.229,-2.6565,45.75,0,,False
1759743563.329,2025-10-06 10:39:23.328,0.04,0.0022,0.8794,2.5573,0.6565,-2.6489,45.38,0,,False
1759743563.461,2025-10-06 10:39:23.460,0.0396,-0.0034,0.8755,2.5802,0.7023,-2.6412,45.61,0,,False
1759743563.599,2025-10-06 10:39:23.598,0.0415,-0.0029,0.8806,2.5344,-0.084,-2.7939,45.42,115.0,,True
1759743563.729,2025-10-06 10:39:23.729,0.0408,0.0012,0.8748,2.3893,0.0076,-2.626,45.38,115.0,,True
1759743563.861,2025-10-06 10:39:23.861,0.0417,-0.0012,0.8806,2.3817,-0.0076,-2.542,45.75,115.0,,True
1759743563.999,2025-10-06 10:39:23.999,0.0422,-0.0017,0.8757,2.6031,-0.2748,-2.6489,45.61,79.75,,True
1759743564.13,2025-10-06 10:39:24.129,0.0405,0.001,0.8772,2.4198,0.0763,-2.626,45.24,68.0,,True
1759743564.262,2025-10-06 10:39:24.262,0.0405,-0.0005,0.8801,2.3435,-0.0229,-2.5496,45.61,68.0,,True
1759743564.392,2025-10-06 10:39:24.391,0.0403,-0.001,0.877,2.313,-0.5191,-2.8244,45.52,68.0,,True
1759743564.522,2025-10-06 10:39:24.521,0.0337,-0.0015,0.8799,2.4122,-0.0305,-2.7481,45.38,68.0,,True
1759743564.652,2025-10-06 10:39:24.651,0.04,0.0012,0.876,2.313,-0.1908,-2.5496,45.75,68.0,,True
1759743564.784,2025-10-06 10:39:24.784,0.0371,0.002,0.8752,2.5802,-0.145,-2.6565,45.57,68.0,,True
1759743564.922,2025-10-06 10:39:24.921,0.0364,-0.0005,0.8821,2.4427,0.1756,-2.6794,45.61,78.0,,True
1759743565.052,2025-10-06 10:39:25.052,0.0398,0.0002,0.8792,2.5191,-0.916,-2.7252,45.52,83.0,,True
1759743565.193,2025-10-06 10:39:25.193,0.0405,-0.0017,0.8755,2.5191,-0.5038,-2.626,45.42,81.5,,True
1759743565.323,2025-10-06 10:39:25.323,0.0422,0.0027,0.8765,2.3511,-0.3206,-2.6107,45.38,119.25,,True
1759743565.453,2025-10-06 10:39:25.452,0.0403,-0.0007,0.8755,2.3588,0.1221,-2.7328,45.52,166.0,,True
1759743565.583,2025-10-06 10:39:25.583,0.042,0.0051,0.8777,2.5878,0.6565,-2.7481,45.42,166.0,,True
1759743565.713,2025-10-06 10:39:25.713,0.041,0.0034,0.8804,2.2519,0.0153,-2.7863,45.61,143.5,,True
1759743565.843,2025-10-06 10:39:25.843,0.0366,0.0015,0.8867,2.229,-0.5496,-2.855,45.57,122.75,,True
1759743565.974,2025-10-06 10:39:25.973,0.0381,-0.0022,0.8745,2.3969,0.0534,-2.626,45.61,128.75,,True
1759743566.103,2025-10-06 10:39:26.103,0.0374,0.002,0.8875,2.7939,-0.1908,-2.6718,45.75,178.0,,True
1759743566.233,2025-10-06 10:39:26.233,0.0408,0.0051,0.873,2.3893,-0.4656,-2.7939,45.33,185.5,,True
1759743566.363,2025-10-06 10:39:26.363,0.0378,-0.0034,0.8735,2.5496,-0.0611,-2.6565,45.42,128.5,,True
1759743566.494,2025-10-06 10:39:26.493,0.0417,0.0032,0.874,2.2672,-0.1221,-2.7786,45.71,148.5,,True
1759743566.624,2025-10-06 10:39:26.623,0.0396,0.0015,0.8777,2.374,-0.0458,-2.6412,45.38,97.0,,True
1759743566.754,2025-10-06 10:39:26.753,0.0391,-0.0007,0.8745,2.4275,0.6718,-2.4962,45.38,101.75,,True
1759743566.884,2025-10-06 10:39:26.884,0.042,0.0022,0.8796,2.2901,0.4275,-2.8702,45.38,109.25,,True
1759743567.014,2025-10-06 10:39:27.014,0.0405,0.0002,0.873,2.1832,-0.7328,-2.5344,45.61,118.75,,True
1759743567.152,2025-10-06 10:39:27.152,0.0422,-0.0005,0.8794,2.4656,-0.4885,-2.8702,45.61,122.5,,True
1759743567.284,2025-10-06 10:39:27.284,0.0422,-0.0002,0.8796,2.3969,0.9924,-2.6412,45.61,98.25,,True
1759743567.416,2025-10-06 10:39:27.416,0.041,0.0049,0.8782,2.7557,0.1832,-2.5878,45.52,110.0,,True
1759743567.554,2025-10-06 10:39:27.554,0.043,0.002,0.8811,2.3893,-0.0458,-3.0611,45.42,107.25,,True
1759743567.685,2025-10-06 10:39:27.684,0.0381,0.0032,0.8862,2.3511,-0.6794,-2.626,45.38,107.0,,True
1759743567.817,2025-10-06 10:39:27.816,0.0378,-0.002,0.8811,2.2901,3.2672,-2.6641,45.42,111.0,,True
1759743567.955,2025-10-06 10:39:27.955,0.0366,0.0022,0.8765,2.3817,-2.4427,-2.5573,45.61,113.5,,True
1759743568.086,2025-10-06 10:39:28.086,0.0439,0.0,0.8855,2.7099,-0.5267,-2.9084,45.61,250.0,,True
1759743568.218,2025-10-06 10:39:28.218,0.032,0.0005,0.8796,2.5344,-3.2595,-2.5954,45.52,250.0,,True
1759743568.358,2025-10-06 10:39:28.357,0.0342,0.0051,0.8833,2.542,2.2137,-2.9924,45.61,241.0,,True
1759743568.489,2025-10-06 10:39:28.489,0.0403,0.0034,0.8804,2.4046,0.9237,-2.4427,45.52,193.75,,True
1759743568.621,2025-10-06 10:39:28.621,0.043,0.0012,0.8799,2.6183,-1.7252,-2.7939,45.33,214.0,,True
1759743568.742,2025-10-06 10:39:28.742,0.0378,-0.0017,0.8789,2.4885,-0.4351,-2.7863,45.42,214.0,,True
1759743568.874,2025-10-06 10:39:28.873,0.0413,-0.0051,0.8806,2.2977,1.7481,-2.7023,45.38,193.75,,True
1759743569.005,2025-10-06 10:39:29.004,0.0471,0.0032,0.8755,2.3588,-0.2519,-2.6794,45.52,176.5,,True
1759743569.137,2025-10-06 10:39:29.136,0.0366,0.0032,0.8853,2.2366,-3.0076,-2.7786,45.38,187.0,,True
1759743569.268,2025-10-06 10:39:29.267,0.0383,-0.0012,0.8833,2.1603,1.3206,-2.6489,45.61,187.0,,True
1759743569.4,2025-10-06 10:39:29.399,0.0474,0.0037,0.8826,2.6947,1.8855,-2.8626,45.61,187.0,,True
1759743569.531,2025-10-06 10:39:29.531,0.0376,0.0029,0.8804,2.4198,-2.8626,-2.6489,45.61,143.0,,True
1759743569.67,2025-10-06 10:39:29.670,0.0322,0.0,0.8784,2.2977,0.4427,-2.6489,45.33,143.0,,True
1759743569.802,2025-10-06 10:39:29.801,0.0396,0.0012,0.8835,2.4504,2.6183,-2.7328,45.38,150.0,,True
1759743569.933,2025-10-06 10:39:29.932,0.0391,0.002,0.8828,2.3588,-2.6107,-2.8473,45.42,150.0,,True
1759743570.065,2025-10-06 10:39:30.064,0.0332,0.0022,0.8806,2.5038,1.0153,-2.6718,45.38,150.0,,True
1759743570.196,2025-10-06 10:39:30.195,0.04,0.0042,0.8745,2.2824,0.9313,-2.4885,45.24,182.0,,True
1759743570.327,2025-10-06 10:39:30.327,0.0352,-0.0007,0.8816,2.3664,-3.4046,-2.7481,45.52,142.25,,True
1759743570.458,2025-10-06 10:39:30.458,0.0171,0.0007,0.8923,3.916,-15.1756,-2.5573,45.61,164.5,,True
1759743570.589,2025-10-06 10:39:30.589,0.0554,0.0002,0.8901,7.6031,11.7481,-3.1374,45.42,179.25,,True
1759743570.72,2025-10-06 10:39:30.720,0.0603,0.0044,0.8772,2.7786,-0.2672,-2.7405,45.75,179.25,,True
1759743570.851,2025-10-06 10:39:30.851,0.0583,0.0051,0.8787,2.4962,-0.0458,-2.5954,45.71,179.25,,True
1759743570.991,2025-10-06 10:39:30.991,0.0579,0.0044,0.8831,2.3053,-0.0763,-2.6718,45.42,179.25,,True
1759743571.122,2025-10-06 10:39:31.122,0.0598,0.0022,0.8823,2.4962,0.0611,-2.6107,45.42,179.25,,True
1759743571.255,2025-10-06 10:39:31.254,0.0603,0.0056,0.8833,2.4122,-0.1298,-2.7939,45.52,200.75,,True
1759743571.393,2025-10-06 10:39:31.393,0.0618,0.0032,0.877,2.229,0.0458,-2.4809,45.61,193.75,,True
1759743571.529,2025-10-06 10:39:31.529,0.0586,0.0073,0.8789,2.2595,-0.0763,-2.6412,45.61,131.25,,True
