timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected,fall_predicted,fall_confidence,accel_magnitude,gyro_magnitude
1759821376.022,2025-10-07 08:16:16.022,0.1138,0.019,0.8755,2.6031,-0.4427,-2.5344,39.17,0,,False,False,1.0,0.883,3.66
1759821376.22,2025-10-07 08:16:16.219,0.1108,0.022,0.8713,2.5191,-0.0611,-2.6794,39.31,0,,False,False,1.0,0.879,3.678
1759821376.408,2025-10-07 08:16:16.407,0.1108,0.0215,0.8691,2.4504,-0.3893,-2.8779,39.35,0,,False,False,1.0,0.876,3.8
1759821376.584,2025-10-07 08:16:16.583,0.1155,0.02,0.8711,2.3664,-0.3206,-2.6565,38.98,0,,False,False,1.0,0.879,3.572
1759821376.774,2025-10-07 08:16:16.774,0.1106,0.02,0.8774,2.4656,-0.0992,-2.5802,39.35,0,,False,False,1.0,0.885,3.57
1759821376.936,2025-10-07 08:16:16.936,0.1152,0.0178,0.8723,2.5496,-0.1679,-2.5191,39.21,0,,False,False,1.0,0.88,3.588
1759821377.073,2025-10-07 08:16:17.073,0.1116,0.0225,0.8767,2.4198,-0.4046,-2.7863,39.12,0,,False,False,1.0,0.884,3.712
1759821377.229,2025-10-07 08:16:17.229,0.113,0.0198,0.873,2.2519,-0.5573,-2.8779,39.35,0,,False,False,1.0,0.881,3.696
1759821377.385,2025-10-07 08:16:17.385,0.1094,0.0222,0.8748,2.6947,-0.3206,-2.6412,39.4,0,,False,False,1.0,0.882,3.787
1759821377.542,2025-10-07 08:16:17.541,0.114,0.0234,0.8718,2.4733,-0.4427,-2.7099,39.21,0,,False,False,1.0,0.88,3.696
1759821377.709,2025-10-07 08:16:17.708,0.1113,0.0237,0.8716,2.4427,-0.1756,-2.6031,39.35,0,,False,False,1.0,0.879,3.574
1759821377.863,2025-10-07 08:16:17.863,0.1104,0.0183,0.8684,2.458,-0.2595,-2.7405,38.88,0,,False,False,1.0,0.876,3.69
1759821378.017,2025-10-07 08:16:18.016,0.1123,0.02,0.8738,2.7481,-0.4351,-2.7176,39.31,0,,False,False,1.0,0.881,3.889
