timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected
1757666245.933,2025-09-12 09:37:25.933,0.0312,0.0134,0.8762,1.8779,-1.2214,-15.084,,,,False
1757666246.066,2025-09-12 09:37:26.065,0.0381,0.0222,0.8743,1.3817,0.9618,-26.9695,,,,False
1757666246.198,2025-09-12 09:37:26.198,0.021,0.0188,0.8833,1.8015,0.6336,-8.0382,,,,False
1757666246.331,2025-09-12 09:37:26.330,0.0354,-0.0034,0.875,1.5344,1.5191,-10.8244,,,,False
1757666246.459,2025-09-12 09:37:26.458,0.0281,0.0088,0.8792,2.7176,-0.771,-2.7863,,,,False
1757666246.588,2025-09-12 09:37:26.588,0.0337,0.0115,0.8806,2.5954,-0.2214,-2.6336,,,,False
1757666246.721,2025-09-12 09:37:26.720,0.0312,0.0095,0.8813,2.458,-0.3435,-2.6489,,,,False
1757666246.853,2025-09-12 09:37:26.853,0.03,0.0095,0.8853,2.2824,-0.3282,-2.6947,,,,False
1757666246.982,2025-09-12 09:37:26.981,0.0281,0.01,0.874,2.4046,-0.4122,-2.7557,,,,False
1757666247.114,2025-09-12 09:37:27.113,0.0283,0.0088,0.8872,2.084,-0.313,-2.7939,,,,False
1757666247.247,2025-09-12 09:37:27.246,0.032,0.0112,0.8921,2.4809,-0.2061,-2.7252,,,,False
1757666247.375,2025-09-12 09:37:27.374,0.0308,0.0122,0.8767,2.3359,-0.3282,-2.5191,,,,False
1757666247.503,2025-09-12 09:37:27.503,0.0298,0.009,0.8811,2.2061,-0.3435,-2.5496,,,,False
1757666247.635,2025-09-12 09:37:27.635,0.0312,0.0142,0.8818,2.6718,-0.7176,-2.9237,,,,False
1757666247.768,2025-09-12 09:37:27.767,0.0295,0.0093,0.8779,2.3511,-0.8168,-2.8244,,,,False
1757666247.896,2025-09-12 09:37:27.895,0.0352,0.0115,0.8779,2.6183,-0.2595,-2.9237,,,,False
1757666248.025,2025-09-12 09:37:28.024,0.0273,0.009,0.8872,2.4046,-0.2443,-2.6489,,,,False
1757666248.164,2025-09-12 09:37:28.163,0.032,0.0103,0.887,2.6107,-0.2519,-2.7176,,,,False
1757666248.294,2025-09-12 09:37:28.294,0.0332,0.0098,0.8804,2.3893,-0.1908,-2.6641,,,,False
1757666248.424,2025-09-12 09:37:28.424,0.0295,0.0093,0.8782,2.7252,-0.2137,-2.7786,,,,False
1757666248.554,2025-09-12 09:37:28.554,0.0312,0.0107,0.8816,2.6565,-0.0382,-2.4504,,,,True
1757666248.684,2025-09-12 09:37:28.684,0.0295,0.0112,0.8848,2.6031,0.0534,-2.6031,,,,True
1757666248.815,2025-09-12 09:37:28.814,0.0291,0.0149,0.8818,2.2901,-0.1679,-2.6489,,,,True
1757666248.945,2025-09-12 09:37:28.944,0.0303,0.0107,0.8857,2.5878,-0.4351,-2.7405,,,,True
1757666249.075,2025-09-12 09:37:29.074,0.0376,0.0139,0.8777,2.6031,-0.4427,-2.8626,,,,True
1757666249.205,2025-09-12 09:37:29.204,0.0347,0.0112,0.8855,2.4885,-0.4504,-2.8321,,,,True
1757666249.335,2025-09-12 09:37:29.335,0.0325,0.0115,0.8809,2.542,-0.0763,-2.6489,,,,True
1757666249.466,2025-09-12 09:37:29.465,0.0332,0.0129,0.8787,2.5344,-0.0534,-2.626,,,,True
1757666249.596,2025-09-12 09:37:29.595,0.0281,0.0098,0.8838,2.4809,-0.1374,-2.6641,,,,True
1757666249.726,2025-09-12 09:37:29.725,0.0305,0.0122,0.884,2.5267,0.145,-2.6947,,,,True
1757666249.856,2025-09-12 09:37:29.855,0.0332,0.0127,0.8745,2.6412,-0.0763,-2.855,,,,True
1757666249.988,2025-09-12 09:37:29.988,0.0288,0.0107,0.8818,2.4504,0.0229,-2.5649,,,,True
1757666250.126,2025-09-12 09:37:30.126,0.0293,0.01,0.8862,2.3435,-0.3206,-2.542,,,,True
1757666250.261,2025-09-12 09:37:30.260,0.0293,0.0083,0.8733,2.3435,-0.0611,-2.6794,,,,True
1757666250.392,2025-09-12 09:37:30.391,0.0251,0.0132,0.8862,2.4046,-0.3053,-2.626,,,,True
1757666250.522,2025-09-12 09:37:30.521,0.0293,0.0105,0.8767,2.3817,-0.3893,-2.5573,,,,True
1757666250.653,2025-09-12 09:37:30.652,0.0261,0.01,0.8809,2.3817,-0.374,-2.5954,,,,True
1757666250.785,2025-09-12 09:37:30.784,0.0291,0.0122,0.8855,2.2137,0.0229,-2.8473,,,,True
1757666250.923,2025-09-12 09:37:30.922,0.0293,0.0093,0.8889,2.6641,-0.2061,-2.7557,,,,True
1757666251.053,2025-09-12 09:37:31.053,0.03,0.0127,0.8853,2.6031,-0.1374,-2.6641,,,,True
1757666251.186,2025-09-12 09:37:31.185,0.0254,0.0129,0.8826,2.6947,-0.4885,-2.8397,,,,True
1757666251.324,2025-09-12 09:37:31.323,0.0315,0.0095,0.8877,2.5496,-0.5344,-2.8626,,,,True
1757666251.454,2025-09-12 09:37:31.454,0.0278,0.0137,0.8867,2.6336,-0.8015,-2.5878,,,,True
1757666251.586,2025-09-12 09:37:31.586,0.0352,0.0,0.8801,2.1145,-0.1374,-5.9542,,,,True
1757666251.724,2025-09-12 09:37:31.724,0.0117,-0.0879,0.9417,-2.2595,-29.6107,-36.5649,,,,True
1757666251.855,2025-09-12 09:37:31.855,0.0693,-0.0259,0.8989,0.1603,-1.6947,-33.229,,,,True
1757666251.993,2025-09-12 09:37:31.993,0.054,0.0378,0.8845,-2.4122,0.4275,-61.0458,,,,True
1757666252.124,2025-09-12 09:37:32.123,0.0403,0.0217,0.8687,-0.3664,1.4275,-50.084,,,,True
1757666252.256,2025-09-12 09:37:32.255,0.0698,0.0286,0.864,2.7863,1.6489,-16.2595,,,,True
1757666252.404,2025-09-12 09:37:32.403,0.032,0.0117,0.8953,3.5496,-0.9466,10.4656,,,,True
1757666252.536,2025-09-12 09:37:32.535,0.04,0.0071,0.8923,4.6489,4.8855,-9.084,,,,True
1757666252.675,2025-09-12 09:37:32.675,0.0513,-0.0173,0.8738,0.7252,-3.0763,-20.3893,,,,True
