timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected,fall_predicted,fall_confidence,accel_magnitude,gyro_magnitude
1759820314.375,2025-10-07 07:58:34.374,0.0706,0.0225,0.8772,2.4427,-0.0534,-2.4809,40.53,0,,False,False,1.0,0.88,3.482
1759820314.573,2025-10-07 07:58:34.573,0.0664,0.0198,0.8706,2.4809,0.1221,-2.6489,40.58,0,,False,False,1.0,0.873,3.631
1759820314.763,2025-10-07 07:58:34.762,0.0708,0.019,0.8677,2.3664,-0.0382,-2.7176,40.44,0,,False,False,1.0,0.871,3.604
1759820314.937,2025-10-07 07:58:34.937,0.0706,0.0183,0.8774,2.5191,-0.2595,-2.7405,40.53,0,,False,False,1.0,0.88,3.731
1759820315.129,2025-10-07 07:58:35.129,0.0708,0.022,0.8794,2.5267,-0.1603,-2.5725,40.44,0,,False,False,1.0,0.883,3.609
1759820315.309,2025-10-07 07:58:35.308,0.0657,0.0164,0.876,2.4885,-0.3282,-2.5878,40.67,0,,False,False,1.0,0.879,3.605
1759820315.469,2025-10-07 07:58:35.469,0.0706,0.0217,0.8772,2.4046,-0.1374,-2.6183,40.67,0,,False,False,1.0,0.88,3.558
1759820315.659,2025-10-07 07:58:35.658,0.0696,0.0203,0.876,2.3359,-0.2061,-2.6183,40.44,0,,False,False,1.0,0.879,3.515
1759820315.851,2025-10-07 07:58:35.851,0.0669,0.0195,0.8708,2.3053,-0.1756,-2.5725,40.77,0,,False,False,1.0,0.874,3.459
1759820316.032,2025-10-07 07:58:36.032,0.0715,0.019,0.8855,2.4656,-0.0534,-2.5954,40.53,0,,False,False,1.0,0.889,3.58
1759820316.193,2025-10-07 07:58:36.193,0.0718,0.0195,0.8733,2.4198,-0.0611,-2.3969,40.44,0,,False,False,1.0,0.876,3.407
1759820316.37,2025-10-07 07:58:36.370,0.0662,0.022,0.8799,2.4809,-0.0153,-2.6031,40.58,0,,False,False,1.0,0.883,3.596
1759820316.548,2025-10-07 07:58:36.548,0.0698,0.0195,0.8716,2.4046,-0.1145,-2.9084,40.58,0,,False,False,0.99,0.875,3.775
1759820316.737,2025-10-07 07:58:36.737,0.071,0.0244,0.8711,2.458,0.0611,-2.7176,40.72,0,,False,False,0.99,0.874,3.665
1759820316.898,2025-10-07 07:58:36.897,0.0723,0.0203,0.8855,2.4122,-0.2824,-2.8015,40.58,0,,False,False,1.0,0.889,3.708
1759820317.055,2025-10-07 07:58:37.054,0.0657,0.0217,0.8757,2.5267,-0.2672,-2.5038,40.91,0,,False,False,1.0,0.878,3.567
