timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected
1759741972.798,2025-10-06 10:12:52.798,0.0715,-0.0037,0.8821,2.145,-0.1908,-2.5878,45.09,0,,False
1759741972.945,2025-10-06 10:12:52.944,0.0703,0.001,0.8748,2.3893,0.0076,-2.6947,45.52,0,,False
1759741973.074,2025-10-06 10:12:53.074,0.073,-0.0034,0.8784,2.626,-0.0382,-2.5344,45.33,0,,False
1759741973.203,2025-10-06 10:12:53.203,0.0752,0.0024,0.8811,2.5267,0.0458,-2.6947,45.05,0,,False
1759741973.349,2025-10-06 10:12:53.348,0.0742,0.0007,0.8716,2.5573,-0.3053,-2.7939,45.42,0,,False
1759741973.479,2025-10-06 10:12:53.479,0.0737,-0.0024,0.8767,2.4733,-0.1603,-2.6031,44.91,0,,False
1759741973.603,2025-10-06 10:12:53.603,0.0691,0.0017,0.8804,2.4427,-0.0611,-2.6565,45.38,0,,False
1759741973.742,2025-10-06 10:12:53.741,0.071,-0.0012,0.8831,2.3893,0.1145,-2.6412,45.33,0,,False
1759741973.872,2025-10-06 10:12:53.872,0.072,-0.0012,0.8784,2.374,0.0763,-2.8015,45.19,0,,False
1759741974.013,2025-10-06 10:12:54.013,0.0747,0.0027,0.876,2.3893,-0.458,-2.7557,45.33,0,,False
1759741974.142,2025-10-06 10:12:54.142,0.072,-0.0022,0.8745,2.3893,-0.1679,-2.626,45.33,0,,False
1759741974.274,2025-10-06 10:12:54.274,0.074,-0.0024,0.885,2.4351,0.0229,-2.4046,45.05,0,,False
1759741974.407,2025-10-06 10:12:54.406,0.0723,-0.0024,0.8792,2.4122,-0.3588,-2.8168,45.24,0,,False
1759741974.552,2025-10-06 10:12:54.551,0.0732,-0.0027,0.8809,2.3206,0.1603,-2.7863,45.24,0,,False
1759741974.684,2025-10-06 10:12:54.684,0.0698,-0.0032,0.8799,2.3511,0.0305,-2.5954,45.05,0,,False
1759741974.829,2025-10-06 10:12:54.829,0.0713,-0.0007,0.8828,2.4656,-0.2748,-2.6107,45.24,0,,False
1759741974.982,2025-10-06 10:12:54.981,0.0752,-0.0007,0.8831,2.4427,0.0458,-2.5878,45.09,0,,False
1759741975.116,2025-10-06 10:12:55.116,0.072,0.0012,0.8757,2.3817,-0.4962,-2.6412,45.19,0,,False
1759741975.264,2025-10-06 10:12:55.263,0.0718,0.0005,0.8818,2.3282,-0.2214,-2.6718,45.52,83.0,,True
1759741975.396,2025-10-06 10:12:55.395,0.0706,-0.0002,0.8784,2.1374,0.1832,-2.6183,45.19,83.0,,True
1759741975.522,2025-10-06 10:12:55.521,0.0662,-0.0015,0.8801,2.5344,0.1374,-2.7328,45.0,124.5,,True
1759741975.66,2025-10-06 10:12:55.660,0.0703,0.0017,0.8848,2.3817,0.2061,-2.4809,45.33,140.5,,True
1759741975.792,2025-10-06 10:12:55.791,0.0728,-0.0002,0.8843,2.4275,-0.2214,-2.626,45.24,115.0,,True
1759741975.933,2025-10-06 10:12:55.933,0.0713,0.001,0.8845,2.4046,0.1756,-2.5344,45.24,115.0,,True
1759741976.068,2025-10-06 10:12:56.067,0.0728,0.0012,0.8765,2.2595,-0.3053,-2.7557,45.33,109.0,,True
1759741976.2,2025-10-06 10:12:56.200,0.071,0.0015,0.8755,2.4733,0.4427,-2.4656,45.33,105.25,,True
1759741976.325,2025-10-06 10:12:56.325,0.0715,-0.0005,0.8765,2.3282,0.8168,-2.313,45.52,109.0,,True
1759741976.466,2025-10-06 10:12:56.466,0.0732,0.0029,0.8831,2.5878,-2.3893,-2.5878,45.33,130.75,,True
1759741976.598,2025-10-06 10:12:56.598,0.0735,-0.0012,0.8743,2.4122,-0.0534,-2.626,45.24,115.0,,True
1759741976.725,2025-10-06 10:12:56.725,0.0664,0.0,0.8782,2.2748,-1.0534,-2.6489,45.05,166.25,,True
1759741976.863,2025-10-06 10:12:56.863,0.071,-0.001,0.8818,2.2443,-0.0153,-2.8015,45.24,250.0,,True
1759741976.997,2025-10-06 10:12:56.997,0.0732,-0.0015,0.8774,2.1985,0.0763,-2.5496,45.52,250.0,,True
1759741977.136,2025-10-06 10:12:57.136,0.0762,0.001,0.8799,2.0992,-0.3359,-2.5496,45.42,250.0,,True
1759741977.271,2025-10-06 10:12:57.270,0.0669,-0.001,0.8787,2.5954,0.0,-2.5344,45.24,250.0,,True
1759741977.409,2025-10-06 10:12:57.408,0.0693,0.0015,0.8799,2.5725,0.0916,-2.4809,45.52,250.0,,True
1759741977.544,2025-10-06 10:12:57.543,0.0698,-0.0022,0.8813,2.4122,0.0153,-2.6947,45.52,218.5,,True
1759741977.676,2025-10-06 10:12:57.676,0.0723,0.0024,0.8767,2.2366,-0.084,-2.5496,45.42,187.0,,True
