timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected,fall_predicted,fall_confidence,accel_magnitude,gyro_magnitude
1759824027.337,2025-10-07 09:00:27.337,0.0669,-0.0295,0.8845,2.6794,-0.4046,-2.8168,37.99,0,,False,False,1.0,0.888,3.909
1759824027.532,2025-10-07 09:00:27.532,0.0652,-0.0286,0.8726,2.4351,-0.2977,-2.9618,38.27,0,,False,False,1.0,0.875,3.846
1759824027.705,2025-10-07 09:00:27.705,0.0684,-0.0325,0.877,2.4809,-0.1908,-2.8397,37.94,0,,False,False,1.0,0.88,3.776
1759824027.89,2025-10-07 09:00:27.890,0.0662,-0.0261,0.8755,2.2901,-0.3282,-2.6641,38.08,0,,False,False,1.0,0.878,3.528
1759824028.081,2025-10-07 09:00:28.081,0.063,-0.0278,0.874,2.2824,-0.3588,-2.4122,38.18,0,,False,False,1.0,0.877,3.34
1759824028.259,2025-10-07 09:00:28.259,0.0647,-0.0298,0.8821,2.4046,-0.5115,-2.8626,38.13,0,,False,False,1.0,0.885,3.773
1759824028.449,2025-10-07 09:00:28.449,0.0652,-0.0295,0.876,2.3817,-0.4885,-2.7328,37.94,0,,False,False,1.0,0.879,3.658
1759824028.626,2025-10-07 09:00:28.625,0.0662,-0.0332,0.8738,2.7481,-0.2824,-2.7863,37.99,0,,False,False,1.0,0.877,3.924
1759824028.815,2025-10-07 09:00:28.814,0.062,-0.0312,0.874,2.7252,-0.3282,-2.8626,37.94,0,,False,False,1.0,0.877,3.966
1759824028.975,2025-10-07 09:00:28.975,0.0647,-0.0295,0.8708,2.5725,-0.2061,-2.7481,38.18,0,,False,False,1.0,0.874,3.77
1759824029.166,2025-10-07 09:00:29.165,0.0679,-0.03,0.876,2.3969,-0.458,-2.8397,38.08,0,,False,False,1.0,0.879,3.744
1759824029.349,2025-10-07 09:00:29.348,0.064,-0.0315,0.8801,2.3893,-0.4275,-2.8702,38.08,0,,False,False,1.0,0.883,3.759
1759824029.539,2025-10-07 09:00:29.538,0.0696,-0.031,0.8816,2.458,-0.313,-2.7099,37.94,0,,False,False,1.0,0.885,3.672
1759824029.731,2025-10-07 09:00:29.731,0.0642,-0.0305,0.875,2.5725,-0.313,-2.7939,38.32,0,,False,False,1.0,0.878,3.811
1759824029.921,2025-10-07 09:00:29.921,0.0583,-0.0305,0.7988,2.626,-1.6031,-3.7099,38.13,0,,False,False,0.96,0.802,4.82
1759824030.1,2025-10-07 09:00:30.100,0.0649,-0.0298,0.8708,2.5802,-0.7863,-2.9847,37.99,0,,False,False,1.0,0.874,4.023
1759824030.288,2025-10-07 09:00:30.288,0.0654,-0.0276,0.8684,2.542,-0.3435,-2.8702,37.8,0,,False,False,1.0,0.871,3.849
1759824030.477,2025-10-07 09:00:30.476,0.0654,-0.0303,0.8684,2.5115,-0.5802,-2.7405,37.85,0,,False,False,1.0,0.871,3.762
1759824030.657,2025-10-07 09:00:30.656,0.0662,-0.0283,0.8811,2.4122,-0.4427,-2.6183,37.85,0,,False,False,1.0,0.884,3.588
1759824030.844,2025-10-07 09:00:30.843,0.0654,-0.0308,0.8723,2.5267,-0.4046,-2.8473,37.85,0,,False,False,1.0,0.875,3.828
1759824031.033,2025-10-07 09:00:31.032,0.0679,-0.0291,0.8667,2.3893,-0.3588,-2.542,37.85,0,,False,False,1.0,0.87,3.507
1759824031.224,2025-10-07 09:00:31.224,0.0637,-0.0317,0.876,2.5878,-0.1298,-2.7557,37.94,0,,False,False,1.0,0.879,3.783
1759824031.381,2025-10-07 09:00:31.381,0.0645,-0.0283,0.8765,2.374,-0.4733,-2.7939,38.08,0,,False,False,1.0,0.879,3.697
1759824031.533,2025-10-07 09:00:31.533,0.0664,-0.0298,0.875,2.6489,-0.2977,-2.6107,37.8,0,,False,False,1.0,0.878,3.731
1759824031.687,2025-10-07 09:00:31.687,0.0676,-0.031,0.8789,2.7176,-0.2672,-2.9847,38.18,0,,False,False,1.0,0.882,4.045
1759824031.847,2025-10-07 09:00:31.847,0.0684,-0.0305,0.8689,2.7863,-0.3359,-2.8473,38.08,0,,False,False,1.0,0.872,3.998
1759824031.983,2025-10-07 09:00:31.982,0.0679,-0.032,0.8779,2.1985,-0.0763,-2.8244,38.08,0,,False,False,1.0,0.881,3.58
