timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected
1759743231.144,2025-10-06 10:33:51.143,0.1042,0.0,0.8643,2.9542,0.9237,-2.6794,45.24,0,,False
1759743231.276,2025-10-06 10:33:51.276,0.1045,-0.0012,0.8652,0.6183,-3.916,-2.4809,45.61,0,,False
1759743231.409,2025-10-06 10:33:51.408,0.0854,0.0129,0.9092,0.1145,-4.3817,-2.5115,45.61,0,,False
1759743231.541,2025-10-06 10:33:51.541,0.092,0.002,0.8616,1.5496,30.7863,-2.5878,45.09,0,,False
1759743231.673,2025-10-06 10:33:51.673,0.0859,0.0015,0.8735,2.8702,-18.4656,-3.0076,45.09,0,,False
1759743231.806,2025-10-06 10:33:51.805,0.0696,0.0105,0.8977,1.7023,-10.7099,-2.5878,45.33,0,,False
1759743231.938,2025-10-06 10:33:51.938,0.1663,0.0171,0.8789,2.5649,-11.916,-6.4504,45.24,0,,False
1759743232.066,2025-10-06 10:33:52.066,0.051,0.0022,0.8892,3.3893,0.8473,-2.5725,45.33,0,,False
1759743232.195,2025-10-06 10:33:52.194,0.0664,-0.0544,0.8853,1.5725,10.5954,-11.1985,45.57,0,,False
1759743232.327,2025-10-06 10:33:52.327,0.0388,0.0068,0.8877,1.6565,-10.1908,-2.5344,45.19,0,,False
1759743232.46,2025-10-06 10:33:52.459,0.083,0.0034,0.8774,2.7176,-5.1221,-2.5573,45.33,0,,False
1759743232.588,2025-10-06 10:33:52.588,0.0776,0.0046,0.8816,3.2748,18.2595,-2.5573,45.38,0,,False
1759743232.716,2025-10-06 10:33:52.716,0.0247,-0.0349,0.9106,4.0,-23.2061,3.1221,45.61,0,,False
1759743232.849,2025-10-06 10:33:52.848,0.1843,-0.0024,0.8647,28.3511,-48.5038,8.3435,45.09,0,,False
1759743232.982,2025-10-06 10:33:52.982,0.2334,0.1433,0.8857,21.1832,-25.1374,2.7023,45.24,0,,False
1759743233.111,2025-10-06 10:33:53.111,0.3408,0.0879,0.8547,12.8015,-42.0916,3.0,45.61,0,,False
1759743233.25,2025-10-06 10:33:53.249,0.3025,0.1094,0.752,14.5191,-8.3435,10.5115,45.52,0,,False
1759743233.389,2025-10-06 10:33:53.388,0.4194,0.1206,0.8511,-3.8931,-10.7557,18.084,45.38,0,,False
1759743233.526,2025-10-06 10:33:53.526,0.4431,0.0957,0.7822,-4.9313,-15.8092,25.6336,45.52,0,,False
1759743233.665,2025-10-06 10:33:53.664,0.4104,0.0747,0.7686,2.1756,16.6107,5.3282,45.75,0,,False
1759743233.797,2025-10-06 10:33:53.796,0.4961,0.0325,0.7427,-2.8702,-10.5496,19.6947,45.52,0,,False
1759743233.935,2025-10-06 10:33:53.934,0.4849,0.0449,0.6914,12.8015,-13.2824,7.5573,45.33,0,,False
1759743234.065,2025-10-06 10:33:54.064,0.5366,0.0002,0.7041,9.2519,-20.4656,-14.5191,45.24,0,,False
1759743234.197,2025-10-06 10:33:54.196,0.5415,0.011,0.6733,-4.3206,-29.7481,1.5267,45.42,0,,False
1759743234.335,2025-10-06 10:33:54.334,0.6155,0.0027,0.6731,4.8855,-19.6794,7.4275,45.38,0,,False
1759743234.465,2025-10-06 10:33:54.464,0.5825,0.0017,0.5889,18.4733,14.0458,-11.6565,45.38,0,,False
1759743234.597,2025-10-06 10:33:54.596,0.6262,0.0068,0.6577,2.4504,-0.5496,1.4733,45.38,0,,False
1759743234.735,2025-10-06 10:33:54.734,0.6101,0.0906,0.6814,6.4122,3.3206,-3.0382,45.42,0,,False
1759743234.865,2025-10-06 10:33:54.864,0.5645,0.0676,0.7043,2.9771,-6.2595,0.3282,45.38,0,,False
1759743234.997,2025-10-06 10:33:54.997,0.5073,0.074,0.7078,-5.2137,-2.6107,3.3817,45.38,39.0,,True
1759743235.135,2025-10-06 10:33:55.134,0.5486,0.0129,0.6877,-10.374,6.771,9.6412,45.24,39.0,,True
1759743235.265,2025-10-06 10:33:55.265,0.5654,-0.009,0.7129,5.2672,-6.0992,-0.3053,45.38,39.0,,True
