timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected,bp_systolic,bp_diastolic,bp_estimated
1757668718.053,2025-09-12 10:18:38.052,0.0596,0.009,0.8792,2.4504,1.5344,-2.7252,40.01,0,,False,,,False
1757668718.112,2025-09-12 10:18:38.112,0.0574,0.0076,0.8848,2.3893,4.6947,-2.5344,40.06,0,,False,,,False
1757668718.163,2025-09-12 10:18:38.163,0.0542,0.0049,0.874,2.4427,-2.1069,-2.5496,40.25,0,,False,,,False
1757668718.223,2025-09-12 10:18:38.222,0.0554,0.0103,0.8835,2.2366,2.7557,-2.6794,39.87,0,,False,,,False
1757668718.273,2025-09-12 10:18:38.273,0.0552,0.0095,0.8875,2.6031,-2.1527,-2.7939,40.01,0,,False,,,False
1757668718.324,2025-09-12 10:18:38.323,0.0542,0.01,0.8792,2.5344,0.4198,-2.542,40.06,0,,False,,,False
1757668718.383,2025-09-12 10:18:38.383,0.0562,0.0068,0.8787,2.5573,-0.9924,-2.5878,40.06,0,,False,,,False
1757668718.442,2025-09-12 10:18:38.441,0.0583,0.01,0.8879,2.4733,-1.4733,-2.7023,39.92,0,,False,,,False
1757668718.501,2025-09-12 10:18:38.501,0.0564,0.0073,0.8835,2.6031,-0.6412,-2.7786,40.06,0,,False,,,False
1757668718.56,2025-09-12 10:18:38.559,0.0576,0.0103,0.8818,2.8321,-2.0382,-2.8702,40.06,0,,False,,,False
1757668718.619,2025-09-12 10:18:38.619,0.0593,0.01,0.8833,2.4351,-1.6412,-2.7786,39.82,0,,False,,,False
1757668718.681,2025-09-12 10:18:38.680,0.0554,0.0105,0.8865,2.5191,-0.9771,-2.6565,40.15,0,,False,,,False
1757668718.74,2025-09-12 10:18:38.740,0.061,0.0071,0.886,2.542,-0.229,-2.7557,40.06,0,,False,,,False
1757668718.799,2025-09-12 10:18:38.798,0.0635,0.0083,0.8806,2.5725,-1.4885,-2.687,40.25,0,,False,,,False
1757668718.858,2025-09-12 10:18:38.858,0.0608,0.0088,0.8862,2.626,0.7939,-2.8015,40.01,0,,False,,,False
1757668718.917,2025-09-12 10:18:38.916,0.061,0.0083,0.8796,2.5496,-1.1832,-2.6412,40.15,0,,False,,,False
1757668718.976,2025-09-12 10:18:38.976,0.0583,0.0095,0.8804,2.4198,0.3817,-2.687,40.06,0,,False,,,False
1757668719.035,2025-09-12 10:18:39.034,0.0605,0.0093,0.8845,2.2901,-0.2595,-2.4809,40.06,0,,False,,,False
1757668719.085,2025-09-12 10:18:39.085,0.0576,0.0105,0.8809,2.6183,0.8931,-2.6183,39.82,0,,False,,,False
1757668719.145,2025-09-12 10:18:39.144,0.0579,0.0093,0.8828,2.5038,-0.8092,-2.6183,39.92,0,,False,,,False
1757668719.203,2025-09-12 10:18:39.203,0.0557,0.009,0.8723,2.5649,-0.2748,-2.8931,40.15,0,,False,,,False
1757668719.263,2025-09-12 10:18:39.262,0.0596,0.0083,0.8755,2.4046,0.2977,-2.5649,39.87,0,,False,,,False
1757668719.321,2025-09-12 10:18:39.321,0.0542,0.0073,0.8826,2.1603,0.0458,-2.7023,40.06,0,,False,,,False
1757668719.381,2025-09-12 10:18:39.380,0.0564,0.0063,0.8755,2.3588,-0.7023,-2.7939,40.15,0,,False,,,False
1757668719.44,2025-09-12 10:18:39.439,0.0554,0.0088,0.8821,2.3282,0.2595,-2.7023,39.92,0,,False,,,False
1757668719.499,2025-09-12 10:18:39.499,0.0542,0.0083,0.8728,2.4351,-0.6183,-2.7786,40.01,0,,False,,,False
1757668719.558,2025-09-12 10:18:39.557,0.0579,0.0037,0.8772,2.4198,0.5878,-2.7405,39.92,0,,False,,,False
1757668719.617,2025-09-12 10:18:39.616,0.0574,0.0066,0.8835,2.4275,-1.1145,-2.7176,40.01,0,,False,,,False
1757668719.676,2025-09-12 10:18:39.676,0.0588,0.0063,0.8826,2.4198,0.5496,-2.7023,40.39,0,,False,,,False
1757668719.735,2025-09-12 10:18:39.735,0.0549,0.0078,0.8826,2.2137,1.6412,-2.626,40.06,0,,False,,,False
1757668719.794,2025-09-12 10:18:39.794,0.0549,0.0073,0.8838,2.2977,1.542,-2.5878,40.15,0,,False,,,False
1757668719.845,2025-09-12 10:18:39.844,0.0452,0.0051,0.8833,2.3053,0.7023,-2.6183,40.25,0,,False,,,False
1757668719.904,2025-09-12 10:18:39.904,0.0508,0.0088,0.8777,2.4198,0.7023,-2.7405,40.01,0,,False,,,False
1757668719.955,2025-09-12 10:18:39.954,0.0496,0.0078,0.8911,2.2061,-0.1908,-2.7863,40.06,0,,False,,,False
1757668720.004,2025-09-12 10:18:40.004,0.0493,0.0056,0.8811,2.4504,-2.5344,-2.542,40.25,0,,False,,,False
1757668720.061,2025-09-12 10:18:40.061,0.0581,0.0063,0.884,2.4351,1.5191,-2.4427,39.92,0,,False,,,False
1757668720.106,2025-09-12 10:18:40.105,0.0378,0.0107,0.8921,1.9237,7.3053,-2.4427,40.25,300.0,93.468594,True,,,False
1757668720.166,2025-09-12 10:18:40.166,0.0503,0.009,0.8867,2.5954,-2.6489,-2.687,40.25,300.0,93.468594,True,,,False
1757668720.226,2025-09-12 10:18:40.225,0.0464,0.0063,0.873,2.5267,0.8702,-2.5725,39.92,300.0,93.468594,True,,,False
1757668720.277,2025-09-12 10:18:40.277,0.0422,0.011,0.8801,2.3817,-0.0153,-2.5267,40.15,300.0,93.468594,True,,,False
1757668720.338,2025-09-12 10:18:40.337,0.0469,0.0105,0.8796,2.626,-2.6031,-2.771,40.01,300.0,93.468594,True,,,False
1757668720.397,2025-09-12 10:18:40.397,0.04,0.0093,0.8796,2.5191,-1.5038,-2.6336,40.06,300.0,93.468594,True,,,False
1757668720.458,2025-09-12 10:18:40.457,0.0498,0.0012,0.8784,2.1832,-0.1221,-2.7405,40.15,300.0,93.468594,True,,,False
1757668720.518,2025-09-12 10:18:40.517,0.0505,0.0073,0.8894,2.5725,-2.9695,-2.7252,40.06,287.5,99.84405,True,,,False
1757668720.578,2025-09-12 10:18:40.577,0.0522,0.0068,0.8796,2.5344,-0.2748,-2.6718,40.15,287.5,99.84405,True,,,False
1757668720.63,2025-09-12 10:18:40.629,0.051,0.0066,0.8809,2.5344,-0.6412,-2.5878,40.06,287.5,99.84405,True,,,False
1757668720.679,2025-09-12 10:18:40.678,0.053,0.0103,0.8882,2.3206,-0.9695,-2.8015,40.15,287.5,99.84405,True,,,False
1757668720.723,2025-09-12 10:18:40.722,0.0513,0.0083,0.8821,2.3282,-0.7557,-2.6489,40.01,287.5,99.84405,True,,,False
1757668720.78,2025-09-12 10:18:40.779,0.053,0.0034,0.8855,2.5267,-0.3664,-2.5191,40.25,287.5,99.84405,True,,,False
1757668720.84,2025-09-12 10:18:40.839,0.0532,0.0115,0.8774,2.4885,-0.5802,-2.5496,40.01,287.5,99.84405,True,,,False
1757668720.899,2025-09-12 10:18:40.899,0.0503,0.0056,0.8762,2.626,-0.4198,-2.7863,40.25,287.5,99.84405,True,,,False
1757668720.951,2025-09-12 10:18:40.950,0.0535,0.0059,0.8752,2.2366,0.6947,-2.771,40.06,287.5,99.84405,True,,,False
1757668721.002,2025-09-12 10:18:41.002,0.0527,0.0088,0.8845,2.4351,-0.229,-2.9542,40.39,287.5,99.84405,True,,,False
1757668721.047,2025-09-12 10:18:41.046,0.0562,0.0039,0.8855,2.2366,-0.8702,-2.5573,40.06,287.5,99.84405,True,,,False
1757668721.104,2025-09-12 10:18:41.104,0.05,0.0068,0.8811,2.4046,-0.3206,-2.4656,40.2,287.5,99.84405,True,,,False
1757668721.148,2025-09-12 10:18:41.148,0.0513,0.0105,0.8765,2.2977,-0.0458,-2.6794,40.25,287.5,99.84405,True,,,False
1757668721.192,2025-09-12 10:18:41.192,0.0518,0.0103,0.8828,2.2595,-0.1756,-2.6641,40.39,287.5,99.84405,True,,,False
1757668721.236,2025-09-12 10:18:41.236,0.0557,0.0049,0.8853,2.2901,-0.0458,-2.6031,40.06,287.5,99.84405,True,,,False
1757668721.28,2025-09-12 10:18:41.280,0.0513,0.0054,0.8833,2.4656,0.0611,-2.7252,40.01,287.5,99.84405,True,,,False
1757668721.324,2025-09-12 10:18:41.324,0.05,0.0098,0.8857,2.4275,-0.3511,-2.6718,40.25,287.5,99.84405,True,,,False
1757668721.381,2025-09-12 10:18:41.381,0.0486,0.0061,0.8774,2.4122,-0.8855,-2.6794,40.25,287.5,99.84405,True,,,False
1757668721.425,2025-09-12 10:18:41.425,0.0488,0.0081,0.875,2.4427,0.0611,-2.7786,40.39,287.5,99.84405,True,,,False
1757668721.469,2025-09-12 10:18:41.469,0.0459,0.0095,0.8809,2.5191,0.8244,-2.6412,40.06,237.5,99.84405,True,,,False
1757668721.513,2025-09-12 10:18:41.513,0.0503,0.0098,0.8784,2.5267,-0.4198,-2.5954,40.01,187.5,99.84405,True,,,False
