timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected
1759742452.083,2025-10-06 10:20:52.083,0.0488,-0.0002,0.8831,2.5954,0.0382,-2.6489,45.19,0,,False
1759742452.223,2025-10-06 10:20:52.223,0.0459,0.0012,0.8843,2.5267,-0.1985,-2.5649,45.0,0,,False
1759742452.353,2025-10-06 10:20:52.352,0.0493,-0.0005,0.8804,2.4046,-0.145,-2.5802,45.0,0,,False
1759742452.485,2025-10-06 10:20:52.484,0.0493,0.0042,0.8765,2.2901,-0.145,-2.458,44.81,0,,False
1759742452.63,2025-10-06 10:20:52.629,0.0513,0.0039,0.8765,2.229,0.0611,-2.5878,45.05,0,,False
1759742452.762,2025-10-06 10:20:52.761,0.0483,0.0024,0.8826,2.5038,-0.4962,-2.8626,44.91,0,,False
1759742452.907,2025-10-06 10:20:52.906,0.0488,0.0073,0.8816,2.5649,-0.2443,-2.5649,45.24,0,,False
1759742453.039,2025-10-06 10:20:53.038,0.0457,0.0044,0.8779,2.374,0.1756,-2.8244,44.91,0,,False
1759742453.184,2025-10-06 10:20:53.183,0.0444,0.011,0.8835,2.3969,-0.1221,-2.6794,45.0,0,,False
1759742453.316,2025-10-06 10:20:53.316,0.0496,0.0029,0.8835,2.4275,-0.2061,-2.6183,44.86,0,,False
1759742453.448,2025-10-06 10:20:53.448,0.0461,0.0046,0.8833,2.3359,0.145,-2.6641,45.24,0,,False
1759742453.593,2025-10-06 10:20:53.593,0.0481,0.0029,0.8862,2.4656,-0.3664,-2.6718,44.91,0,,False
1759742453.725,2025-10-06 10:20:53.725,0.0474,0.0042,0.8779,2.313,0.0153,-2.7939,45.24,0,,False
1759742453.87,2025-10-06 10:20:53.870,0.0449,0.0076,0.8789,2.3206,-0.1679,-2.6183,45.24,0,,False
1759742454.002,2025-10-06 10:20:54.002,0.0479,0.0042,0.8845,2.3053,0.0611,-2.771,45.38,0,,False
1759742454.14,2025-10-06 10:20:54.139,0.0483,0.0015,0.8789,2.4427,-0.0305,-2.5344,45.09,0,,False
1759742454.274,2025-10-06 10:20:54.273,0.0464,0.0042,0.8877,2.5191,-0.0153,-2.7634,45.0,0,,False
1759742454.406,2025-10-06 10:20:54.405,0.0466,-0.0017,0.8779,2.5802,-0.2061,-2.7863,45.24,0,,False
1759742454.545,2025-10-06 10:20:54.545,0.0488,0.002,0.884,2.4046,-0.145,-2.7557,45.0,0,,False
1759742454.677,2025-10-06 10:20:54.677,0.0471,0.0032,0.8806,2.5496,0.0687,-2.4885,45.09,0,,False
1759742454.817,2025-10-06 10:20:54.817,0.0493,-0.0002,0.8916,2.5038,-0.313,-2.4122,45.24,0,,False
1759742454.949,2025-10-06 10:20:54.949,0.0486,-0.0007,0.8787,2.3664,-0.2061,-2.7405,45.24,0,,False
1759742455.081,2025-10-06 10:20:55.081,0.0459,0.0034,0.8723,2.4351,-0.1145,-2.8015,45.24,0,,False
1759742455.221,2025-10-06 10:20:55.220,0.0479,0.0044,0.8777,2.3664,-0.1069,-2.4198,45.09,0,,False
1759742455.353,2025-10-06 10:20:55.352,0.0474,0.0046,0.8867,2.3588,0.0,-2.6489,45.0,0,,False
1759742455.485,2025-10-06 10:20:55.485,0.0466,0.002,0.8728,2.4733,-0.374,-2.6031,45.24,0,,False
1759742455.617,2025-10-06 10:20:55.616,0.0488,0.0068,0.8889,2.2214,-0.1832,-2.8015,45.05,0,,False
1759742455.748,2025-10-06 10:20:55.747,0.0498,0.0066,0.8821,2.2824,-0.0458,-2.5802,45.19,0,,False
1759742455.88,2025-10-06 10:20:55.879,0.0554,0.0042,0.8701,2.1069,0.1985,-2.5802,45.09,0,,False
1759742456.02,2025-10-06 10:20:56.019,0.0459,0.0027,0.8799,2.313,-0.2901,-2.6183,45.05,0,,False
1759742456.151,2025-10-06 10:20:56.151,0.0479,0.0034,0.8799,2.1374,-0.0458,-2.6031,45.09,0,,False
1759742456.292,2025-10-06 10:20:56.292,0.0476,0.0022,0.8782,2.3359,-0.0992,-2.6565,45.24,0,,False
1759742456.431,2025-10-06 10:20:56.431,0.05,0.0054,0.8762,2.4504,-0.0076,-2.5649,45.0,0,,False
1759742456.563,2025-10-06 10:20:56.563,0.0471,-0.0005,0.885,2.5038,0.0229,-2.6565,45.24,0,,False
1759742456.703,2025-10-06 10:20:56.702,0.0491,0.0059,0.8809,2.3969,-0.3206,-2.7634,45.05,0,,False
1759742456.835,2025-10-06 10:20:56.834,0.0503,0.0022,0.8738,2.458,-0.0534,-2.542,45.09,0,,False
1759742456.956,2025-10-06 10:20:56.955,0.051,0.0027,0.8826,2.5878,-0.2824,-2.4656,44.91,0,,False
1759742457.087,2025-10-06 10:20:57.087,0.0503,0.0037,0.8823,2.3053,-0.0153,-2.4122,45.09,0,,False
1759742457.218,2025-10-06 10:20:57.218,0.0498,0.001,0.8882,2.2443,-0.2443,-2.8473,45.24,0,,False
1759742457.35,2025-10-06 10:20:57.350,0.0483,0.0032,0.8872,2.6641,-0.1069,-2.4733,45.05,0,,False
1759742457.48,2025-10-06 10:20:57.480,0.0469,0.0005,0.8796,2.4427,-0.0229,-2.7023,45.38,0,,False
1759742457.62,2025-10-06 10:20:57.619,0.0481,0.0002,0.8774,2.6718,-0.2519,-2.9847,45.09,0,,False
1759742457.751,2025-10-06 10:20:57.751,0.0505,0.0029,0.8816,2.313,-0.3435,-2.6489,44.81,0,,False
1759742457.883,2025-10-06 10:20:57.883,0.0525,0.0056,0.8796,2.3817,0.1832,-2.4962,45.05,0,,False
1759742458.023,2025-10-06 10:20:58.022,0.0454,0.0029,0.8765,2.7252,-0.145,-2.542,45.19,0,,False
1759742458.154,2025-10-06 10:20:58.154,0.0491,-0.0002,0.8818,2.2901,-0.2595,-2.7863,45.33,0,,False
1759742458.278,2025-10-06 10:20:58.278,0.0493,0.0029,0.8857,2.687,-0.4962,-2.7099,44.86,0,,False
1759742458.418,2025-10-06 10:20:58.417,0.0437,0.0049,0.8687,2.4809,-0.0534,-2.5115,45.05,0,,False
1759742458.549,2025-10-06 10:20:58.549,0.0491,0.0042,0.8845,2.5115,-0.229,-2.6947,45.05,0,,False
1759742458.68,2025-10-06 10:20:58.679,0.0493,0.0029,0.8906,2.1908,-0.2519,-2.7557,45.05,0,,False
1759742458.82,2025-10-06 10:20:58.819,0.0498,0.0049,0.8828,2.4046,-0.145,-2.8321,45.19,0,,False
1759742458.951,2025-10-06 10:20:58.951,0.0491,0.0024,0.8813,2.5496,-0.2366,-2.5573,45.09,0,,False
1759742459.083,2025-10-06 10:20:59.083,0.0486,0.0056,0.8782,2.5344,-0.3206,-2.6641,45.09,0,,False
1759742459.223,2025-10-06 10:20:59.223,0.0461,0.002,0.8838,2.1832,-0.0229,-2.6794,45.33,0,,False
1759742459.355,2025-10-06 10:20:59.355,0.0481,0.0005,0.885,2.6336,-0.1527,-2.6794,45.19,0,,False
1759742459.494,2025-10-06 10:20:59.494,0.0466,0.0007,0.8813,2.3969,-0.0076,-2.6718,45.24,0,,False
1759742459.626,2025-10-06 10:20:59.626,0.0493,0.0051,0.8777,2.2595,-0.2977,-2.6412,45.05,0,,False
1759742459.759,2025-10-06 10:20:59.758,0.0474,-0.0029,0.8828,2.1221,-0.1221,-2.7481,45.0,0,,False
1759742459.883,2025-10-06 10:20:59.882,0.0481,0.0039,0.8887,2.4122,-0.2595,-2.5649,45.05,0,,False
1759742460.022,2025-10-06 10:21:00.022,0.0515,0.0007,0.8813,2.1908,-0.2366,-2.6718,45.24,0,,False
1759742460.154,2025-10-06 10:21:00.153,0.0466,0.0027,0.8845,2.458,-0.3664,-2.5802,45.05,0,,False
1759742460.286,2025-10-06 10:21:00.286,0.0488,0.0054,0.8772,2.4427,0.0,-2.8092,45.09,0,,False
