timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected
1759741899.738,2025-10-06 10:11:39.737,0.075,-0.0051,0.8755,2.2824,-0.0153,-2.6412,44.91,0,,False
1759741899.886,2025-10-06 10:11:39.885,0.0691,-0.0032,0.8843,2.313,0.855,-2.7939,44.86,0,,False
1759741900.022,2025-10-06 10:11:40.022,0.0664,-0.0039,0.8667,2.4427,-0.8015,-2.6412,45.0,0,,False
1759741900.155,2025-10-06 10:11:40.154,0.071,-0.0071,0.8784,2.2824,-0.0458,-2.5649,44.91,0,,False
1759741900.301,2025-10-06 10:11:40.300,0.0706,-0.0029,0.8748,2.4351,-0.0229,-2.4809,45.09,0,,False
1759741900.433,2025-10-06 10:11:40.433,0.0693,-0.002,0.8811,2.5267,-0.0534,-2.5344,45.0,0,,False
1759741900.578,2025-10-06 10:11:40.578,0.0693,-0.0073,0.8752,2.5878,-0.0382,-2.5954,44.81,0,,False
1759741900.71,2025-10-06 10:11:40.710,0.0701,-0.0029,0.8738,2.4046,-0.0687,-2.6947,45.09,0,,False
1759741900.856,2025-10-06 10:11:40.856,0.0667,-0.0046,0.8696,2.3206,0.0992,-2.6031,45.19,0,,False
1759741900.988,2025-10-06 10:11:40.988,0.0706,-0.0046,0.8779,2.2748,-0.1603,-2.4427,45.05,0,,False
1759741901.133,2025-10-06 10:11:41.133,0.0686,-0.0061,0.8752,2.3511,-0.229,-2.7099,45.05,0,,False
1759741901.265,2025-10-06 10:11:41.265,0.0725,-0.0068,0.874,2.2748,-0.1145,-2.6107,45.05,0,,False
1759741901.397,2025-10-06 10:11:41.397,0.071,-0.0044,0.8721,2.3817,-0.0305,-2.7863,45.0,0,,False
1759741901.53,2025-10-06 10:11:41.529,0.0706,-0.0044,0.873,2.313,-0.1221,-2.7328,44.86,0,,False
1759741901.662,2025-10-06 10:11:41.662,0.0667,-0.0029,0.8833,2.2672,-0.0382,-2.5344,44.86,0,,False
1759741901.792,2025-10-06 10:11:41.791,0.0684,-0.0054,0.8887,2.3588,-0.1145,-2.6641,45.0,0,,False
1759741901.94,2025-10-06 10:11:41.940,0.0698,-0.0054,0.8752,2.458,-0.1069,-2.7328,45.0,0,,False
1759741902.073,2025-10-06 10:11:42.073,0.0662,-0.0042,0.8777,2.6641,-0.2977,-2.626,44.86,0,,False
1759741902.212,2025-10-06 10:11:42.212,0.0696,-0.0044,0.8723,2.5725,-0.1603,-2.5038,45.05,68.0,,True
1759741902.344,2025-10-06 10:11:42.343,0.074,-0.0037,0.8755,2.458,-0.0076,-2.7176,45.19,169.0,,True
1759741902.483,2025-10-06 10:11:42.483,0.0674,-0.0081,0.8733,2.4733,-0.1298,-2.6336,44.72,176.5,,True
1759741902.615,2025-10-06 10:11:42.614,0.0659,0.0,0.8782,2.4885,-0.1756,-2.458,45.24,166.0,,True
1759741902.747,2025-10-06 10:11:42.746,0.0679,-0.0032,0.8889,2.3817,-0.2137,-2.6794,45.0,162.0,,True
1759741902.886,2025-10-06 10:11:42.885,0.0691,-0.0073,0.8816,2.3588,-0.2061,-2.4427,44.91,150.0,,True
1759741903.017,2025-10-06 10:11:43.017,0.072,-0.0032,0.8813,2.313,-0.0534,-2.5878,45.0,131.25,,True
1759741903.149,2025-10-06 10:11:43.149,0.0681,-0.0054,0.8784,2.542,-0.2061,-2.5954,44.91,122.5,,True
1759741903.289,2025-10-06 10:11:43.288,0.0684,-0.0071,0.8818,2.5725,0.0992,-2.5878,45.0,111.25,,True
1759741903.42,2025-10-06 10:11:43.420,0.0737,-0.0054,0.8777,2.3817,0.0916,-2.5954,44.91,118.0,,True
1759741903.553,2025-10-06 10:11:43.553,0.0696,-0.0051,0.8782,2.4275,-0.0229,-2.6412,44.91,113.5,,True
1759741903.692,2025-10-06 10:11:43.691,0.0679,-0.0054,0.8784,2.2901,0.1298,-2.6718,45.0,120.25,,True
1759741903.823,2025-10-06 10:11:43.822,0.071,-0.0088,0.874,2.1832,0.0763,-2.5496,45.09,150.0,,True
1759741903.975,2025-10-06 10:11:43.975,0.0684,-0.0059,0.8711,2.3435,-0.1069,-2.7481,44.91,143.0,,True
1759741904.108,2025-10-06 10:11:44.107,0.071,-0.0042,0.8777,2.2595,0.1985,-2.4733,45.0,139.5,,True
1759741904.246,2025-10-06 10:11:44.245,0.0708,-0.0083,0.877,2.3893,-0.1145,-2.6641,44.91,150.0,,True
1759741904.376,2025-10-06 10:11:44.376,0.0681,-0.01,0.8723,2.4351,-0.0382,-2.5344,45.05,150.0,,True
1759741904.508,2025-10-06 10:11:44.508,0.0671,-0.0029,0.8828,2.5878,-0.1603,-2.6412,45.24,150.0,,True
1759741904.646,2025-10-06 10:11:44.646,0.0676,-0.0044,0.8765,2.2672,1.5725,-2.6336,45.05,150.0,,True
1759741904.777,2025-10-06 10:11:44.776,0.0676,-0.001,0.8748,2.1603,-0.0076,-2.6794,45.05,143.0,,True
1759741904.909,2025-10-06 10:11:44.908,0.1255,0.01,0.8708,3.5649,-1.3893,12.2214,45.0,125.5,,True
1759741905.047,2025-10-06 10:11:45.046,0.0703,-0.011,0.8789,2.6336,-0.2595,-2.5954,44.91,120.25,,True
1759741905.177,2025-10-06 10:11:45.177,0.053,0.0159,0.8557,2.458,-0.7328,0.2519,45.09,122.5,,True
1759741905.31,2025-10-06 10:11:45.309,0.0505,-0.0151,0.8809,2.4427,0.229,-2.9924,45.0,125.0,,True
1759741905.448,2025-10-06 10:11:45.447,0.072,-0.0059,0.8804,2.7557,0.145,-2.5954,45.19,113.5,,True
1759741905.579,2025-10-06 10:11:45.578,0.0728,-0.0063,0.8801,2.2214,0.1908,-2.5038,44.86,115.0,,True
1759741905.709,2025-10-06 10:11:45.708,0.0667,-0.0059,0.8855,2.7023,-0.2366,-2.6947,45.19,115.0,,True
1759741905.839,2025-10-06 10:11:45.838,0.0674,-0.0051,0.8757,2.5878,0.2748,-2.6031,45.0,120.0,,True
1759741905.978,2025-10-06 10:11:45.978,0.0674,-0.0076,0.8816,2.3511,0.0076,-2.6947,44.91,101.5,,True
1759741906.111,2025-10-06 10:11:46.110,0.0635,-0.0061,0.8762,2.4046,0.2214,-2.8168,45.24,79.25,,True
1759741906.249,2025-10-06 10:11:46.248,0.0662,-0.0042,0.8704,2.4962,0.6412,-2.542,45.09,95.0,,True
1759741906.379,2025-10-06 10:11:46.379,0.0632,-0.0059,0.8735,2.6489,0.0458,-2.7252,45.09,120.5,,True
1759741906.511,2025-10-06 10:11:46.511,0.0618,-0.0061,0.8733,2.4656,-0.1221,-2.5344,45.0,136.75,,True
1759741906.641,2025-10-06 10:11:46.641,0.0618,-0.0042,0.8809,2.0229,-0.0076,-2.5115,44.91,143.0,,True
1759741906.772,2025-10-06 10:11:46.771,0.061,-0.0083,0.8855,2.4885,0.0916,-2.6031,44.86,130.75,,True
1759741906.902,2025-10-06 10:11:46.902,0.0635,-0.0044,0.877,2.3969,0.0,-2.4885,45.24,226.75,,True
1759741907.04,2025-10-06 10:11:47.040,0.064,-0.0068,0.8804,2.4122,-0.0763,-2.4656,45.05,300.0,,True
1759741907.178,2025-10-06 10:11:47.177,0.0596,-0.0046,0.8884,2.5954,-0.2137,-2.7481,44.86,300.0,,True
1759741907.31,2025-10-06 10:11:47.309,0.0618,-0.0076,0.8818,2.5649,-0.5573,-2.6718,44.81,275.0,,True
1759741907.448,2025-10-06 10:11:47.447,0.0623,-0.0039,0.8726,2.2824,3.6641,-2.626,45.05,275.0,,True
1759741907.578,2025-10-06 10:11:47.578,0.0554,-0.0039,0.8867,2.542,-0.1603,-2.4351,45.0,262.5,,True
1759741907.71,2025-10-06 10:11:47.710,0.0525,-0.0037,0.864,2.5649,0.2595,-2.6183,45.0,275.0,,True
1759741907.848,2025-10-06 10:11:47.848,0.0579,-0.0056,0.885,2.4809,-0.1069,-2.2901,44.86,250.0,,True
1759741907.981,2025-10-06 10:11:47.980,0.0557,-0.0029,0.8831,2.4046,-0.1985,-2.542,45.24,250.0,,True
1759741908.119,2025-10-06 10:11:48.118,0.0557,-0.0093,0.877,2.5649,-0.1145,-2.7176,45.05,250.0,,True
1759741908.249,2025-10-06 10:11:48.249,0.0515,-0.0037,0.8809,2.2901,-0.0992,-2.7557,45.0,300.0,,True
1759741908.382,2025-10-06 10:11:48.381,0.0601,-0.0059,0.8787,2.2214,-0.3435,-2.6107,44.81,300.0,,True
1759741908.52,2025-10-06 10:11:48.519,0.0586,-0.0034,0.8809,2.5038,-0.1756,-2.5802,44.81,300.0,,True
1759741908.651,2025-10-06 10:11:48.651,0.0581,-0.0029,0.8716,2.3359,-0.2977,-2.8473,44.86,300.0,,True
1759741908.784,2025-10-06 10:11:48.783,0.0583,-0.0073,0.8843,2.2672,-0.1832,-2.6412,45.0,300.0,,True
1759741908.923,2025-10-06 10:11:48.923,0.0564,-0.0073,0.8748,2.5725,-0.1069,-2.687,44.86,300.0,,True
1759741909.055,2025-10-06 10:11:49.055,0.0535,-0.0073,0.8772,2.3359,-0.2366,-2.855,44.91,300.0,,True
1759741909.187,2025-10-06 10:11:49.187,0.0583,-0.0063,0.8826,2.3588,0.0,-2.5725,45.09,262.5,,True
1759741909.327,2025-10-06 10:11:49.326,0.0588,-0.0039,0.8713,2.5344,0.1221,-2.5191,44.91,232.0,,True
1759741909.459,2025-10-06 10:11:49.458,0.0586,-0.0046,0.8772,2.145,0.0611,-2.8473,44.81,250.0,,True
1759741909.599,2025-10-06 10:11:49.598,0.0608,-0.009,0.8809,2.4122,-0.145,-2.5649,45.05,250.0,,True
1759741909.73,2025-10-06 10:11:49.730,0.0557,-0.0056,0.8826,2.6336,-0.0611,-2.6641,45.0,187.0,,True
1759741909.862,2025-10-06 10:11:49.862,0.0591,-0.0059,0.8787,2.2824,-0.0916,-2.7481,45.09,146.0,,True
1759741910.012,2025-10-06 10:11:50.012,0.0559,-0.0085,0.8777,2.374,-0.0687,-2.7176,45.0,122.5,,True
1759741910.144,2025-10-06 10:11:50.144,0.0586,-0.0034,0.8777,2.3817,-0.1832,-2.771,45.24,115.0,,True
1759741910.284,2025-10-06 10:11:50.283,0.0574,-0.0078,0.8872,2.4427,-0.0076,-2.6718,45.05,115.0,,True
1759741910.416,2025-10-06 10:11:50.415,0.0559,-0.0051,0.8762,2.3817,-0.0076,-2.6107,45.0,100.0,,True
1759741910.548,2025-10-06 10:11:50.547,0.0571,-0.0039,0.8782,2.5115,-0.2977,-2.7939,44.86,100.0,,True
1759741910.687,2025-10-06 10:11:50.686,0.0737,-0.0044,0.8782,2.855,-3.5267,-2.1679,45.0,100.0,,True
1759741910.819,2025-10-06 10:11:50.818,0.0669,-0.0073,0.8813,2.374,-0.1374,-2.5038,44.72,92.75,,True
1759741910.958,2025-10-06 10:11:50.958,0.0605,-0.0029,0.8794,2.8626,-6.1527,-2.8779,45.0,109.0,,True
1759741911.09,2025-10-06 10:11:51.089,0.053,-0.0059,0.885,2.7252,-5.0916,-2.8779,45.0,141.75,,True
1759741911.222,2025-10-06 10:11:51.222,0.0227,-0.001,0.8699,4.8931,-3.8779,24.687,44.91,193.75,,True
1759741911.361,2025-10-06 10:11:51.361,-0.0115,-0.01,0.9182,2.3435,3.3969,-10.4198,45.0,200.5,,True
1759741911.493,2025-10-06 10:11:51.493,0.0564,-0.0103,0.8862,3.0076,-22.3664,3.2595,45.05,136.75,,True
1759741911.625,2025-10-06 10:11:51.625,0.0732,-0.0056,0.8792,2.2824,-0.9542,-2.771,45.05,155.75,,True
1759741911.765,2025-10-06 10:11:51.764,0.0791,-0.0066,0.8757,2.9847,1.2519,-2.6412,45.24,162.0,,True
1759741911.896,2025-10-06 10:11:51.896,0.0884,-0.0146,0.8455,2.6794,1.771,-2.6183,45.24,139.5,,True
1759741912.045,2025-10-06 10:11:52.045,0.0745,-0.0061,0.8784,2.145,-1.1679,-2.5878,45.09,136.0,,True
