timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected
1757666145.393,2025-09-12 09:35:45.392,-0.0027,0.0078,0.8757,2.5573,-0.3511,-2.7176,,,,False
1757666145.541,2025-09-12 09:35:45.540,-0.0037,0.0098,0.8877,2.4427,-0.3435,-2.8779,,,,False
1757666145.678,2025-09-12 09:35:45.677,-0.0017,0.01,0.8813,2.3893,0.0382,-2.6947,,,,False
1757666145.806,2025-09-12 09:35:45.805,-0.0037,0.0112,0.8774,2.3053,-0.2824,-3.145,,,,False
1757666145.938,2025-09-12 09:35:45.938,0.0012,0.0085,0.8706,2.4275,-0.4046,-2.8168,,,,False
1757666146.071,2025-09-12 09:35:46.071,-0.002,0.0066,0.8833,2.3511,-0.1145,-2.5115,,,,False
1757666146.199,2025-09-12 09:35:46.199,-0.0012,0.0071,0.8831,2.2901,-0.3435,-2.6565,,,,False
1757666146.328,2025-09-12 09:35:46.327,-0.0017,0.0122,0.8865,2.6336,-0.4504,-2.8244,,,,False
1757666146.46,2025-09-12 09:35:46.460,-0.0022,0.0117,0.8892,2.3206,0.1374,-2.8473,,,,False
1757666146.593,2025-09-12 09:35:46.593,-0.0017,0.0061,0.8813,2.4351,-0.2595,-2.771,,,,False
1757666146.721,2025-09-12 09:35:46.721,-0.0007,0.0129,0.8884,2.5038,-0.0076,-2.8244,,,,False
1757666146.85,2025-09-12 09:35:46.849,-0.0034,0.0105,0.8818,2.5344,-0.3206,-2.6718,,,,False
1757666146.982,2025-09-12 09:35:46.981,-0.0056,0.011,0.8909,2.2061,-0.4504,-2.5573,,,,False
1757666147.115,2025-09-12 09:35:47.114,0.002,0.0149,0.8811,2.3588,-0.2366,-2.6794,,,,False
1757666147.247,2025-09-12 09:35:47.247,-0.0046,0.0115,0.8826,2.4962,-0.0382,-2.3969,,,,False
1757666147.392,2025-09-12 09:35:47.391,-0.0044,0.0088,0.8816,2.458,-0.1832,-2.8244,,,,False
1757666147.524,2025-09-12 09:35:47.524,0.0005,0.0081,0.8894,2.3435,-0.1221,-2.8244,,,,False
1757666147.672,2025-09-12 09:35:47.672,-0.0024,0.009,0.8831,2.6489,-0.4351,-2.7481,,,,False
1757666147.802,2025-09-12 09:35:47.802,-0.0034,0.009,0.8796,2.5038,-0.145,-2.5573,,,,False
1757666147.942,2025-09-12 09:35:47.941,-0.0051,0.0103,0.8823,2.5115,-0.4122,-2.8015,,,,False
1757666148.073,2025-09-12 09:35:48.073,-0.0029,0.01,0.876,2.4656,-0.2214,-2.4962,,,,False
1757666148.205,2025-09-12 09:35:48.205,-0.0032,0.0105,0.885,2.2748,-0.2214,-2.7099,,,,False
1757666148.345,2025-09-12 09:35:48.344,0.0007,0.0117,0.8872,2.6718,-0.3817,-2.7176,,,,False
1757666148.476,2025-09-12 09:35:48.476,-0.0056,0.0115,0.8784,2.4275,-0.3511,-2.7863,,,,False
1757666148.609,2025-09-12 09:35:48.608,-0.0017,0.0103,0.8787,2.2061,-0.1298,-2.6947,,,,True
1757666148.748,2025-09-12 09:35:48.747,-0.0044,0.0078,0.8867,2.4733,-0.1603,-2.771,,,,True
1757666148.88,2025-09-12 09:35:48.879,-0.0022,0.011,0.894,2.4122,0.0992,-2.6718,,,,True
1757666149.019,2025-09-12 09:35:49.019,-0.0017,0.01,0.885,2.4198,0.0916,-2.7557,,,,True
1757666149.151,2025-09-12 09:35:49.151,-0.0063,0.009,0.886,2.771,-0.7099,-2.7557,,,,True
1757666149.283,2025-09-12 09:35:49.283,0.0164,-0.009,0.8765,2.2672,0.0153,-13.0229,,,,True
1757666149.423,2025-09-12 09:35:49.423,-0.002,0.0288,0.8865,2.1908,-0.2977,1.229,,,,True
1757666149.558,2025-09-12 09:35:49.557,0.0627,0.0183,0.8611,2.1145,0.4351,-17.5878,,,,True
1757666149.708,2025-09-12 09:35:49.708,-0.0625,-0.012,0.8892,2.8321,-4.145,10.7328,,,,True
1757666149.838,2025-09-12 09:35:49.838,0.0278,0.0356,0.8884,1.8397,2.084,-18.2061,,,,True
1757666149.968,2025-09-12 09:35:49.968,0.1057,0.0283,0.8613,2.2595,-0.4198,17.4656,,,,True
1757666150.098,2025-09-12 09:35:50.098,-0.1223,-0.075,0.8884,2.5115,-1.6031,-10.9237,,,,True
1757666150.229,2025-09-12 09:35:50.228,0.051,0.0242,0.8879,2.2977,3.0534,-1.6031,,,,True
